id,Area,JanEff,FebEff,MarEff,AprEff,MayEff,JunEff,JulEff,AugEff,SepEff,OctEff,NovEff,DecEff,TotalEffor,Elevmean,RiverDist,RoadDist,VillDist,Ruggmean
3255,Ebo,0,0,0,0,0,0,0,0,1466.772084,0,0,0,1466.772084,706.40625,927.1490392,3927.861974,4247.88914,43.56826968
3256,Ebo,0,0,0,0,0,0,0,0,3176.736238,0,0,0,3176.736238,608.5918561,431.010237,3521.328807,4266.751024,33.21372272
3257,Ebo,0,0,0,0,0,0,0,0,2433.999952,0,0,0,2433.999952,536.8603516,217.9013754,3202.671987,4042.45568,25.03519918
3258,Ebo,0,0,0,0,0,0,0,0,3181.980063,0,0,0,3181.980063,600.8409091,608.17173,2813.217593,3723.659104,26.02942935
3259,Ebo,0,0,0,0,0,0,0,0,5397.631637,0,0,0,5397.631637,756.3095703,824.9583931,2736.360996,3659.211161,35.54903272
3260,Ebo,0,0,0,0,0,0,0,0,3879.197768,0,0,0,3879.197768,860.4782197,836.2359298,3005.202846,3861.866844,28.11149341
3261,Ebo,0,0,0,0,0,0,0,0,3755.141045,0,0,0,3755.141045,864.1240234,1372.984396,3546.098813,4293.97307,28.86077073
3262,Ebo,0,0,0,0,0,0,0,0,867.6148936,0,0,0,867.6148936,799.9119318,1660.067255,4256.57015,4895.139827,37.17405018
3268,Ebo,0,0,0,0,2054.791908,0,0,0,0,0,0,0,2054.791908,250.2831439,581.5776731,9663.32372,9955.276446,27.05223937
3269,Ebo,0,0,0,0,1304.531,0,0,0,0,0,0,0,1304.531,154.3320313,43.81705692,10626.54215,10891.81887,14.21904648
3405,Ebo,0,0,0,0,0,0,0,0,807.9050923,0,0,0,807.9050923,403.2168561,9.018174497,3053.97758,3254.282188,31.0472231
3406,Ebo,0,0,0,0,0,0,0,0,3362.587716,0,0,0,3362.587716,582.8962351,387.9228152,2579.827676,3278.86485,40.80137115
3407,Ebo,0,0,0,0,0,0,0,0,4664.172441,0,0,0,4664.172441,738.0643939,742.510748,2303.481242,3168.883482,36.70702142
3408,Ebo,0,0,0,0,0,0,0,0,6522.896466,0,0,0,6522.896466,821.4876033,1075.398838,1857.517432,2750.638421,37.99401752
